day,hour,Condition,Temperature,Dew_Point,Humidity,Wind_Speed,Wind_Gust,Pressure,Precip,Precip_Accum
2018-01-01,12:51 AM,Fair,9,-4,56,9,21,30.2,0.0,0.0
2018-01-01,1:51 AM,Fair,9,-4,56,10,18,30.2,0.0,0.0
2018-01-01,2:51 AM,Fair,8,-4,58,10,20,30.2,0.0,0.0
2018-01-01,3:51 AM,Fair,8,-5,55,7,0,30.2,0.0,0.0
2018-01-01,4:51 AM,Fair,8,-5,55,9,21,30.2,0.0,0.0
2018-01-01,5:51 AM,Fair,7,-5,58,6,0,30.2,0.0,0.0
2018-01-01,6:51 AM,Fair,7,-5,58,8,0,30.2,0.0,0.0
2018-01-01,7:51 AM,Fair,7,-4,61,6,17,30.2,0.0,0.0
2018-01-01,8:51 AM,Fair,8,-3,61,6,0,30.2,0.0,0.0
2018-01-01,9:51 AM,Fair,11,-3,54,8,0,30.2,0.0,0.0
2018-01-01,10:51 AM,Fair,12,-4,49,9,20,30.2,0.0,0.0
2018-01-01,11:51 AM,Fair,14,-4,45,8,0,30.2,0.0,0.0
2018-01-01,12:51 PM,Fair,15,-5,41,10,21,30.2,0.0,0.0
2018-01-01,1:51 PM,Fair,17,-5,37,9,17,30.2,0.0,0.0
2018-01-01,2:51 PM,Fair,18,-5,36,3,20,30.2,0.0,0.0
2018-01-01,3:51 PM,Fair,18,-6,35,9,18,30.2,0.0,0.0
2018-01-01,4:51 PM,Fair,18,-5,36,7,0,30.2,0.0,0.0
2018-01-01,5:51 PM,Fair,18,-6,35,9,0,30.2,0.0,0.0
2018-01-01,6:51 PM,Fair,17,-4,39,3,0,30.2,0.0,0.0
2018-01-01,7:51 PM,Fair,17,-4,39,8,18,30.2,0.0,0.0
2018-01-01,8:51 PM,Fair,17,-2,43,5,0,30.2,0.0,0.0
2018-01-01,9:51 PM,Fair,17,0,47,10,20,30.2,0.0,0.0
2018-01-01,10:51 PM,Fair,16,2,54,12,23,30.2,0.0,0.0
2018-01-01,11:51 PM,Fair,15,3,59,3,0,30.2,0.0,0.0
2018-01-02,12:51 AM,Fair,15,2,56,10,0,30.2,0.0,0.0
2018-01-02,1:51 AM,Fair,15,1,54,15,22,30.2,0.0,0.0
2018-01-02,2:51 AM,Fair,14,1,56,13,22,30.2,0.0,0.0
2018-01-02,3:51 AM,Fair,14,1,56,12,20,30.2,0.0,0.0
2018-01-02,4:51 AM,Fair,13,1,59,5,0,30.2,0.0,0.0
2018-01-02,5:51 AM,Fair,13,1,59,7,0,30.2,0.0,0.0
2018-01-02,6:51 AM,Mostly Cloudy,13,1,59,8,0,30.3,0.0,0.0
2018-01-02,7:51 AM,Fair,13,2,62,5,20,30.3,0.0,0.0
2018-01-02,8:51 AM,Fair,14,2,59,0,0,30.3,0.0,0.0
2018-01-02,9:51 AM,Fair,16,3,57,7,0,30.3,0.0,0.0
2018-01-02,10:51 AM,Fair,18,4,54,8,0,30.3,0.0,0.0
2018-01-02,11:51 AM,Fair,21,5,50,8,23,30.2,0.0,0.0
2018-01-02,12:51 PM,Fair,23,6,48,8,0,30.2,0.0,0.0
2018-01-02,1:51 PM,Fair,25,6,45,6,18,30.2,0.0,0.0
2018-01-02,2:51 PM,Fair,26,6,43,5,0,30.2,0.0,0.0
2018-01-02,3:51 PM,Fair,25,7,46,8,0,30.2,0.0,0.0
2018-01-02,4:51 PM,Fair,24,7,48,9,0,30.2,0.0,0.0
2018-01-02,5:51 PM,Fair,24,6,46,5,22,30.2,0.0,0.0
2018-01-02,6:51 PM,Fair,23,6,48,9,21,30.2,0.0,0.0
2018-01-02,7:51 PM,Fair,22,5,48,9,17,30.2,0.0,0.0
2018-01-02,8:51 PM,Fair,20,5,52,8,28,30.2,0.0,0.0
2018-01-02,9:51 PM,Fair,19,4,52,6,0,30.2,0.0,0.0
2018-01-02,10:51 PM,Fair,19,3,50,7,0,30.2,0.0,0.0
2018-01-02,11:51 PM,Fair,19,2,47,9,20,30.2,0.0,0.0
2018-01-03,12:51 AM,Fair,19,3,50,5,0,30.2,0.0,0.0
2018-01-03,1:51 AM,Fair,19,2,47,5,16,30.2,0.0,0.0
2018-01-03,2:51 AM,Fair,17,2,52,7,0,30.2,0.0,0.0
2018-01-03,3:51 AM,Fair,17,2,52,0,0,30.2,0.0,0.0
2018-01-03,4:51 AM,Cloudy,17,1,50,5,0,30.2,0.0,0.0
2018-01-03,5:51 AM,Cloudy,17,0,47,0,0,30.2,0.0,0.0
2018-01-03,6:51 AM,Cloudy,17,0,47,3,0,30.2,0.0,0.0
2018-01-03,7:51 AM,Fair,17,-1,45,0,0,30.2,0.0,0.0
2018-01-03,8:51 AM,Fair,18,0,45,7,0,30.2,0.0,0.0
2018-01-03,9:51 AM,Fair,19,-1,42,3,0,30.2,0.0,0.0
2018-01-03,10:51 AM,Cloudy,22,1,40,5,0,30.2,0.0,0.0
2018-01-03,11:51 AM,Fair,25,2,37,0,0,30.1,0.0,0.0
2018-01-03,12:51 PM,Partly Cloudy,27,2,34,0,0,30.1,0.0,0.0
2018-01-03,1:51 PM,Fair,29,0,29,3,0,30.1,0.0,0.0
