,pickup_date,pickup_hour,Condition,Precip,Precip_Accum,pickup_dayofweek,PULocationID,count,speed
32612787,8/6/2018,0,1,0,0,4,79,407,10.2394349
32618810,8/6/2018,1,1,0,0,4,79,260,11.2635385
32622038,8/6/2018,2,1,0,0,4,79,157,11.7317834
32623809,8/6/2018,3,1,0,0,4,79,84,11.6457143
32624900,8/6/2018,4,1,0,0,4,79,48,11.9147917
32625726,8/6/2018,5,1,0,0,4,79,30,12.1793333
32627340,8/6/2018,6,1,0,0,4,79,116,12.2389655
32632232,8/6/2018,7,1,0,0,4,79,200,11.06875
32642167,8/6/2018,8,1,0,0,4,79,251,8.79788845
32654307,8/6/2018,9,1,0,0,4,79,241,7.95493776
32665200,8/6/2018,10,1,0,0,4,79,198,8.10050505
32675990,8/6/2018,11,1,0,0,4,79,195,7.94923077
32686963,8/6/2018,12,1,0,0,4,79,194,7.43793814
32698199,8/6/2018,13,2,0,0,4,79,203,7.16152709
32709129,8/6/2018,14,1,0,0,4,79,205,7.35404878
32721311,8/6/2018,17,3,0,0,4,79,249,8.11763052
32734156,8/6/2018,18,2,0,0,4,79,389,8.51447301
32749641,8/6/2018,19,1,0,0,4,79,392,8.55918367
32764195,8/6/2018,20,2,0,0,4,79,427,8.75662763
32776382,8/6/2018,21,4,0,0,4,79,510,8.83592157
32788095,8/6/2018,22,4,0,0,4,79,599,9.21888147
32800212,8/6/2018,23,1,0,0,4,79,733,9.14215553
32810904,9/6/2018,0,1,0,0,5,79,785,9.00987261
32819650,9/6/2018,1,1,0,0,5,79,980,10.0823776
32826640,9/6/2018,2,1,0,0,5,79,711,11.23391
32831638,9/6/2018,3,1,0,0,5,79,426,11.6944366
32834598,9/6/2018,4,1,0,0,5,79,169,11.9818343
32836148,9/6/2018,5,1,0,0,5,79,31,12.48
32836927,9/6/2018,6,1,0,0,5,79,33,12.0645455
32838585,9/6/2018,7,1,0,0,5,79,75,12.3445333
32841729,9/6/2018,8,1,0,0,5,79,141,10.7978723
32847228,9/6/2018,9,1,0,0,5,79,193,9.97398964
32855305,9/6/2018,10,1,0,0,5,79,231,9.35255411
32865043,9/6/2018,11,1,0,0,5,79,234,9.10470085
32875696,9/6/2018,12,1,0,0,5,79,273,7.96978022
32886834,9/6/2018,13,1,0,0,5,79,288,7.90152778
32897812,9/6/2018,14,1,0,0,5,79,259,8.43598456
32908858,9/6/2018,15,1,0,0,5,79,255,8.43278431
32919873,9/6/2018,16,1,0,0,5,79,235,8.43548936
32930391,9/6/2018,17,1,0,0,5,79,278,8.52464029
32941921,9/6/2018,18,1,0,0,5,79,331,8.68716012
32954365,9/6/2018,19,1,0,0,5,79,342,8.36818713
32966613,9/6/2018,20,1,0,0,5,79,389,9.5933162
32976646,9/6/2018,21,1,0,0,5,79,476,9.42653361
32987184,9/6/2018,22,1,0,0,5,79,538,9.41453532
32998311,9/6/2018,23,1,0,0,5,79,684,9.19923977
33008967,10/6/2018,0,2,0,0,6,79,844,9.72359005
33017817,10/6/2018,1,3,0,0,6,79,828,10.3838406
33024811,10/6/2018,2,3,0,0,6,79,659,11.4035508
33029698,10/6/2018,3,2,0,0,6,79,441,11.6770068
33032888,10/6/2018,4,3,0,0,6,79,185,11.9518378
33034450,10/6/2018,5,3,0,0,6,79,48,11.9172917
33035103,10/6/2018,6,3,0,0,6,79,21,12.9285714
33036067,10/6/2018,7,14,0,0,6,79,41,13.115122
33038055,10/6/2018,8,2,0,0,6,79,88,12.2117045
33041787,10/6/2018,9,3,0,0,6,79,140,11.4569286
33047624,10/6/2018,10,1,0,0,6,79,181,10.720663
33055158,10/6/2018,11,3,0,0,6,79,215,10.1703721
33063677,10/6/2018,12,1,0,0,6,79,243,9.36111111
33072748,10/6/2018,13,14,0,0,6,79,267,8.70134831
33082336,10/6/2018,14,14,0,0,6,79,248,8.57826613
33091881,10/6/2018,15,14,0,0,6,79,289,8.02695502
33101019,10/6/2018,16,14,0,0,6,79,296,7.79706081
33110322,10/6/2018,17,14,0,0,6,79,292,8.07760274
33120296,10/6/2018,18,3,0,0,6,79,241,8.51564315
33130228,10/6/2018,19,14,0,0,6,79,278,8.94230216
33139420,10/6/2018,20,2,0,0,6,79,303,10.7094389
33146874,10/6/2018,21,14,0,0,6,79,280,11.0928929
33153635,10/6/2018,22,2,0,0,6,79,261,11.2662069
33159078,10/6/2018,23,14,0,0,6,79,163,11.3374233
33163112,11/6/2018,0,14,0,0,0,79,112,11.1365179
33165365,11/6/2018,1,2,0,0,0,79,59,11.4164407
33166585,11/6/2018,2,3,0,0,0,79,34,12.5867647
33167241,11/6/2018,3,3,0,0,0,79,19,11.9731579
33167640,11/6/2018,4,2,0,0,0,79,25,12.1296
33168199,11/6/2018,5,2,0,0,0,79,24,12.3429167
33169677,11/6/2018,6,4,0,0,0,79,105,12.6885714
33174488,11/6/2018,7,1,0,0,0,79,170,11.4335882
33183463,11/6/2018,8,1,0,0,0,79,199,9.60603015
33194678,11/6/2018,9,1,0,0,0,79,203,8.60581281
33205055,11/6/2018,10,1,0,0,0,79,150,8.91593333
33214744,11/6/2018,11,1,0,0,0,79,130,9.33946154
33224358,11/6/2018,12,1,0,0,0,79,161,8.57273292
33234693,11/6/2018,13,1,0,0,0,79,148,9.42452703
33244906,11/6/2018,14,1,0,0,0,79,121,9.25479339
33256201,11/6/2018,15,1,0,0,0,79,130,9.02807692
33267494,11/6/2018,16,1,0,0,0,79,136,9.19727941
33278180,11/6/2018,17,1,0,0,0,79,181,9.34563536
33290906,11/6/2018,18,1,0,0,0,79,215,9.33623256
33305522,11/6/2018,19,1,0,0,0,79,247,10.0626721
33318487,11/6/2018,20,1,0,0,0,79,245,10.807102
33329410,11/6/2018,21,1,0,0,0,79,318,11.1225472
33340480,11/6/2018,22,1,0,0,0,79,368,11.3976359
33349515,11/6/2018,23,1,0,0,0,79,190,11.9875263
33354614,12/6/2018,0,1,0,0,1,79,146,11.8487671
33357127,12/6/2018,1,1,0,0,1,79,65,12.0963077
33358204,12/6/2018,2,1,0,0,1,79,41,11.385122
33358860,12/6/2018,3,1,0,0,1,79,43,11.4276744
33359262,12/6/2018,4,1,0,0,1,79,26,11.4684615
33359778,12/6/2018,5,1,0,0,1,79,24,13.20375
33361285,12/6/2018,6,1,0,0,1,79,94,11.8807447
33366322,12/6/2018,7,1,0,0,1,79,166,11.0054217
33376088,12/6/2018,8,1,0,0,1,79,196,8.7922449
33388050,12/6/2018,9,1,0,0,1,79,244,8.28086066
33399076,12/6/2018,10,1,0,0,1,79,162,8.33024691
33409621,12/6/2018,11,1,0,0,1,79,144,8.27986111
33419879,12/6/2018,12,1,0,0,1,79,127,8.6511811
33430636,12/6/2018,13,1,0,0,1,79,164,8.18981707
33441658,12/6/2018,14,1,0,0,1,79,152,8.08171053
33453519,12/6/2018,15,1,0,0,1,79,153,8.24679739
33465301,12/6/2018,16,1,0,0,1,79,120,8.63275
33476070,12/6/2018,17,1,0,0,1,79,176,8.79278409
33488702,12/6/2018,18,1,0,0,1,79,239,8.89405858
33503455,12/6/2018,19,1,0,0,1,79,257,9.2785214
33517361,12/6/2018,20,1,0,0,1,79,325,10.6395692
33529814,12/6/2018,21,1,0,0,1,79,426,10.445892
33542622,12/6/2018,22,1,0,0,1,79,452,11.0351106
33553351,12/6/2018,23,1,0,0,1,79,317,11.3191798
33560532,13/6/2018,0,2,0,0,2,79,176,11.583125
33564152,13/6/2018,1,4,0,0,2,79,118,12.1755085
33565848,13/6/2018,2,4,0,0,2,79,60,11.3271667
33566714,13/6/2018,3,3,0,0,2,79,25,10.936
33567285,13/6/2018,4,3,0,0,2,79,35,11.7605714
33567925,13/6/2018,5,2,0,0,2,79,25,12.5732
33569515,13/6/2018,6,14,0,0,2,79,99,12.2806061
33575411,13/6/2018,7,2,0,0,2,79,199,10.9654271
33585990,13/6/2018,8,3,0,0,2,79,228,8.73140351
33598887,13/6/2018,9,2,0,0,2,79,259,7.70467181
33611170,13/6/2018,10,3,0,0,2,79,168,7.94238095
33622277,13/6/2018,11,3,0,0,2,79,157,7.54012739
33633635,13/6/2018,12,14,0,0,2,79,188,7.53430851
33646144,13/6/2018,13,14,0,0,2,79,178,7.60775281
33657460,13/6/2018,14,3,0,0,2,79,155,8.08225806
33668773,13/6/2018,15,3,0,0,2,79,146,7.84582192
33679751,13/6/2018,16,3,0,0,2,79,155,7.78019355
33690119,13/6/2018,17,3,0,0,2,79,176,8.06039773
33702585,13/6/2018,18,2,0,0,2,79,245,8.06971429
33717886,13/6/2018,19,2,0,0,2,79,273,8.72578755
33732620,13/6/2018,20,1,0,0,2,79,312,9.67775641
33745157,13/6/2018,21,1,0,0,2,79,439,10.4652847
33758537,13/6/2018,22,1,0,0,2,79,457,10.7390591
33769844,13/6/2018,23,1,0,0,2,79,385,10.9881818
33778110,14/6/2018,0,2,0,0,3,79,249,11.0046988
33782338,14/6/2018,1,14,0,0,3,79,123,11.2521951
33784439,14/6/2018,2,4,0,0,3,79,95,11.5544211
33785541,14/6/2018,3,1,0,0,3,79,42,11.8161905
33786198,14/6/2018,4,1,0,0,3,79,42,12.0292857
33786865,14/6/2018,5,1,0,0,3,79,36,12.8966667
33788492,14/6/2018,6,1,0,0,3,79,87,12.0514943
33793908,14/6/2018,7,1,0,0,3,79,190,11.2268947
33803831,14/6/2018,8,1,0,0,3,79,230,8.42478261
33815849,14/6/2018,9,1,0,0,3,79,228,8.32092105
33827247,14/6/2018,10,1,0,0,3,79,201,8.02402985
33838081,14/6/2018,11,1,0,0,3,79,152,7.37743421
33848915,14/6/2018,12,1,0,0,3,79,155,7.71580645
33860403,14/6/2018,13,1,0,0,3,79,185,7.6332973
33872157,14/6/2018,14,1,0,0,3,79,180,8.06138889
33884604,14/6/2018,15,1,0,0,3,79,157,7.77980892
33896263,14/6/2018,16,1,0,0,3,79,152,7.60105263
33906566,14/6/2018,17,1,0,0,3,79,201,8.02049751
33919126,14/6/2018,18,1,0,0,3,79,342,8.32938596
33934135,14/6/2018,19,1,0,0,3,79,304,8.73782895
33948835,14/6/2018,20,4,0,0,3,79,379,9.79868074
33961985,14/6/2018,21,1,0,0,3,79,553,9.67853526
33975318,14/6/2018,22,1,0,0,3,79,568,10.537588
33987055,14/6/2018,23,1,0,0,3,79,537,10.7542644
32614769,8/6/2018,0,1,0,0,4,148,314,10.7923885
32619936,8/6/2018,1,1,0,0,4,148,239,11.2900837
32622663,8/6/2018,2,1,0,0,4,148,171,11.6180117
32624152,8/6/2018,3,1,0,0,4,148,101,11.6615842
32625114,8/6/2018,4,1,0,0,4,148,42,12.6559524
32626071,8/6/2018,5,1,0,0,4,148,12,12.9608333
32628664,8/6/2018,6,1,0,0,4,148,29,12.8882759
32635084,8/6/2018,7,1,0,0,4,148,43,9.91209302
32645513,8/6/2018,8,1,0,0,4,148,61,9.33196721
32657272,8/6/2018,9,1,0,0,4,148,63,8.29412698
32667891,8/6/2018,10,1,0,0,4,148,48,9.050625
32678722,8/6/2018,11,1,0,0,4,148,58,8.13586207
32689772,8/6/2018,12,1,0,0,4,148,57,8.19859649
32700954,8/6/2018,13,2,0,0,4,148,59,8.03101695
32712236,8/6/2018,14,1,0,0,4,148,68,7.80117647
32724617,8/6/2018,17,3,0,0,4,148,89,8.48629213
32738223,8/6/2018,18,2,0,0,4,148,122,8.84803279
32753489,8/6/2018,19,1,0,0,4,148,132,9.05568182
32767506,8/6/2018,20,2,0,0,4,148,172,9.30680233
32779764,8/6/2018,21,4,0,0,4,148,178,9.21926966
32791661,8/6/2018,22,4,0,0,4,148,261,9.57214559
32803791,8/6/2018,23,1,0,0,4,148,348,9.67965517
32813993,9/6/2018,0,1,0,0,5,148,484,10.1308058
32822475,9/6/2018,1,1,0,0,5,148,661,10.3316641
32828675,9/6/2018,2,1,0,0,5,148,636,11.0875314
32832858,9/6/2018,3,1,0,0,5,148,371,11.8149057
32835181,9/6/2018,4,1,0,0,5,148,157,11.874586
32836347,9/6/2018,5,1,0,0,5,148,29,12.1775862
32837325,9/6/2018,6,1,0,0,5,148,17,13.3658824
32839347,9/6/2018,7,1,0,0,5,148,24,12.2925
32843212,9/6/2018,8,1,0,0,5,148,36,11.4586111
32849438,9/6/2018,9,1,0,0,5,148,54,10.5892593
32858144,9/6/2018,10,1,0,0,5,148,63,9.33111111
32867885,9/6/2018,11,1,0,0,5,148,77,9.13935065
32878812,9/6/2018,12,1,0,0,5,148,97,8.86164948
32889993,9/6/2018,13,1,0,0,5,148,107,8.28448598
32900855,9/6/2018,14,1,0,0,5,148,110,8.46409091
32911745,9/6/2018,15,1,0,0,5,148,99,9.34121212
